Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office
23-Jul-10,Salt,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$130,000,000 ","$118,311,368 ","$137,355,153 ","$290,650,494 "
15-Oct-10,Jackass 3D,Paramount Pictures,Documentary,Based on TV,Live Action,Factual,"$20,000,000 ","$117,229,692 ","$136,098,657 ","$171,685,793 "
12-Feb-10,Valentine's Day,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$52,000,000 ","$110,485,654 ","$128,269,779 ","$217,569,328 "
3-Dec-10,Black Swan,Fox Searchlight,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$13,000,000 ","$106,954,678 ","$123,824,083 ","$331,266,710 "
14-May-10,Robin Hood,Universal,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,"$210,000,000 ","$105,487,148 ","$122,466,699 ","$322,459,006 "
10-Dec-10,The Chronicles of Narnia: The Voyage …,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$155,000,000 ","$104,386,950 ","$121,087,158 ","$418,186,950 "
13-Aug-10,The Expendables,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$82,000,000 ","$103,068,524 ","$119,658,765 ","$268,268,174 "
5-Nov-10,Due Date,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$65,000,000 ","$100,539,043 ","$116,714,476 ","$211,739,043 "
17-Dec-10,Yogi Bear,Warner Bros.,Adventure,Based on TV,Animation/Live Action,Kids Fiction,"$80,000,000 ","$100,246,011 ","$116,179,962 ","$204,774,690 "
9-Apr-10,Date Night,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$55,000,000 ","$98,711,404 ","$114,600,311 ","$152,269,033 "
1-Oct-10,The Social Network,Sony Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$40,000,000 ","$96,962,694 ","$112,548,206 ","$224,922,135 "
27-May-10,Sex and the City 2,Warner Bros.,Comedy,Based on TV,Live Action,Contemporary Fiction,"$95,000,000 ","$95,347,692 ","$110,695,165 ","$294,680,778 "
15-Jan-10,The Book of Eli,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,"$80,000,000 ","$94,835,059 ","$110,100,021 ","$158,750,817 "
10-Dec-10,The Fighter,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$11,000,000 ","$93,617,009 ","$108,409,333 ","$129,262,388 "
